forbrukningstyp;nyckelkod;varde;enhet;period;tidpunkt;detaljniva
EL;092021;228999.143858;kWh;201905;2019-05-02T00:00:00+00:00;Dag
EL;092021;257808.683858;kWh;201905;2019-05-03T00:00:00+00:00;Dag
EL;092021;240804.253858;kWh;201905;2019-05-04T00:00:00+00:00;Dag
EL;092021;226904.473858;kWh;201905;2019-05-07T00:00:00+00:00;Dag
EL;092021;157848.873858;kWh;201905;2019-05-17T00:00:00+00:00;Dag
EL;092021;133407.853858;kWh;201905;2019-05-19T00:00:00+00:00;Dag
EL;092021;135111.303858;kWh;201905;2019-05-20T00:00:00+00:00;Dag
EL;092021;180601.943858;kWh;201905;2019-05-24T00:00:00+00:00;Dag
EL;092021;168214.963858;kWh;201905;2019-05-25T00:00:00+00:00;Dag
EL;092021;178081.953858;kWh;201905;2019-05-30T00:00:00+00:00;Dag
EL;092021;184224.603858;kWh;201905;2019-05-31T00:00:00+00:00;Dag
EL;092021;156857.399989;kWh;201906;2019-06-04T00:00:00+00:00;Dag
EL;092021;133184.699989;kWh;201906;2019-06-06T00:00:00+00:00;Dag
EL;092021;128943.599989;kWh;201906;2019-06-07T00:00:00+00:00;Dag
EL;092021;114998.999989;kWh;201906;2019-06-09T00:00:00+00:00;Dag
EL;092021;144433.799989;kWh;201906;2019-06-14T00:00:00+00:00;Dag
EL;092021;127608.899989;kWh;201906;2019-06-15T00:00:00+00:00;Dag
EL;092021;116805.899989;kWh;201906;2019-06-22T00:00:00+00:00;Dag
EL;092021;128635.199989;kWh;201906;2019-06-24T00:00:00+00:00;Dag
EL;092021;126694.799989;kWh;201906;2019-06-28T00:00:00+00:00;Dag
EL;092021;125622.299989;kWh;201906;2019-06-30T00:00:00+00:00;Dag
EL;092021;133437.34225;kWh;201907;2019-07-01T00:00:00+00:00;Dag
EL;092021;126556.83025;kWh;201907;2019-07-09T00:00:00+00:00;Dag
EL;092021;114006.51125;kWh;201907;2019-07-20T00:00:00+00:00;Dag
EL;092021;109222.18825;kWh;201907;2019-07-21T00:00:00+00:00;Dag
EL;092021;114794.25225;kWh;201907;2019-07-26T00:00:00+00:00;Dag
EL;092021;107039.29225;kWh;201907;2019-07-27T00:00:00+00:00;Dag
EL;092021;105789.99225;kWh;201907;2019-07-28T00:00:00+00:00;Dag
EL;092021;118741.17225;kWh;201907;2019-07-30T00:00:00+00:00;Dag
EL;092021;116427.233326;kWh;201806;2018-06-02T00:00:00+00:00;Dag
EL;092021;129726.533326;kWh;201806;2018-06-04T00:00:00+00:00;Dag
EL;092021;147320.933326;kWh;201806;2018-06-07T00:00:00+00:00;Dag
EL;092021;135305.633326;kWh;201806;2018-06-09T00:00:00+00:00;Dag
EL;092021;127498.433326;kWh;201806;2018-06-10T00:00:00+00:00;Dag
EL;092021;124391.033326;kWh;201806;2018-06-26T00:00:00+00:00;Dag
EL;092021;133206.833326;kWh;201806;2018-06-29T00:00:00+00:00;Dag
EL;092021;121169.001272;kWh;201807;2018-07-01T00:00:00+00:00;Dag
EL;092021;125293.551272;kWh;201807;2018-07-02T00:00:00+00:00;Dag
EL;092021;125579.681272;kWh;201807;2018-07-04T00:00:00+00:00;Dag
EL;092021;127393.491272;kWh;201807;2018-07-05T00:00:00+00:00;Dag
EL;092021;122346.691272;kWh;201807;2018-07-06T00:00:00+00:00;Dag
EL;092021;119908.541272;kWh;201807;2018-07-09T00:00:00+00:00;Dag
EL;092021;117418.621272;kWh;201807;2018-07-12T00:00:00+00:00;Dag
EL;092021;108185.271272;kWh;201807;2018-07-14T00:00:00+00:00;Dag
EL;092021;113242.921272;kWh;201807;2018-07-16T00:00:00+00:00;Dag
EL;092021;113677.541272;kWh;201807;2018-07-17T00:00:00+00:00;Dag
EL;092021;114713.871272;kWh;201807;2018-07-23T00:00:00+00:00;Dag
EL;092021;115997.581272;kWh;201807;2018-07-24T00:00:00+00:00;Dag
EL;092021;113587.951272;kWh;201807;2018-07-25T00:00:00+00:00;Dag
EL;092021;115736.189272;kWh;201807;2018-07-31T00:00:00+00:00;Dag
EL;092021;118503.636759;kWh;201808;2018-08-01T00:00:00+00:00;Dag
EL;092021;110490.756759;kWh;201808;2018-08-04T00:00:00+00:00;Dag
EL;092021;124796.016759;kWh;201808;2018-08-08T00:00:00+00:00;Dag
EL;092021;129156.166759;kWh;201808;2018-08-13T00:00:00+00:00;Dag
EL;092021;135620.286759;kWh;201808;2018-08-16T00:00:00+00:00;Dag
EL;092021;135861.776759;kWh;201808;2018-08-20T00:00:00+00:00;Dag
EL;092021;128549.496759;kWh;201808;2018-08-25T00:00:00+00:00;Dag
EL;092021;144573.086759;kWh;201808;2018-08-27T00:00:00+00:00;Dag
EL;092021;144845.886759;kWh;201808;2018-08-30T00:00:00+00:00;Dag
EL;092021;133378.966653;kWh;201809;2018-09-02T00:00:00+00:00;Dag
EL;092021;138276.766653;kWh;201809;2018-09-04T00:00:00+00:00;Dag
EL;092021;141841.366653;kWh;201809;2018-09-05T00:00:00+00:00;Dag
EL;092021;162025.966653;kWh;201809;2018-09-16T00:00:00+00:00;Dag
EL;092021;176011.966653;kWh;201809;2018-09-17T00:00:00+00:00;Dag
EL;092021;164178.106653;kWh;201809;2018-09-21T00:00:00+00:00;Dag
EL;092021;185761.966653;kWh;201809;2018-09-26T00:00:00+00:00;Dag
EL;092021;196745.566653;kWh;201809;2018-09-27T00:00:00+00:00;Dag
EL;092021;192803.446653;kWh;201809;2018-09-30T00:00:00+00:00;Dag
EL;092021;215877.60676;kWh;201810;2018-10-06T00:00:00+00:00;Dag
EL;092021;231305.06676;kWh;201810;2018-10-07T00:00:00+00:00;Dag
EL;092021;222477.81676;kWh;201810;2018-10-10T00:00:00+00:00;Dag
EL;092021;212297.41676;kWh;201810;2018-10-11T00:00:00+00:00;Dag
EL;092021;208674.10576;kWh;201810;2018-10-12T00:00:00+00:00;Dag
EL;092021;195750.85676;kWh;201810;2018-10-15T00:00:00+00:00;Dag
EL;092021;209704.88676;kWh;201810;2018-10-16T00:00:00+00:00;Dag
EL;092021;221081.57676;kWh;201810;2018-10-17T00:00:00+00:00;Dag
EL;092021;214134.47676;kWh;201810;2018-10-18T00:00:00+00:00;Dag
EL;092021;218126.03676;kWh;201810;2018-10-21T00:00:00+00:00;Dag
EL;092021;232820.34676;kWh;201810;2018-10-22T00:00:00+00:00;Dag
EL;092021;267483.30676;kWh;201810;2018-10-24T00:00:00+00:00;Dag
EL;092021;277319.91676;kWh;201810;2018-10-25T00:00:00+00:00;Dag
EL;092021;332088.23676;kWh;201810;2018-10-29T00:00:00+00:00;Dag
EL;092021;263260.79676;kWh;201810;2018-10-31T00:00:00+00:00;Dag
EL;092021;248077.433321;kWh;201811;2018-11-01T00:00:00+00:00;Dag
EL;092021;245307.233321;kWh;201811;2018-11-04T00:00:00+00:00;Dag
EL;092021;237564.533321;kWh;201811;2018-11-09T00:00:00+00:00;Dag
EL;092021;226508.633321;kWh;201811;2018-11-10T00:00:00+00:00;Dag
EL;092021;226625.033321;kWh;201811;2018-11-12T00:00:00+00:00;Dag
EL;092021;327518.033321;kWh;201811;2018-11-21T00:00:00+00:00;Dag
EL;092021;335863.733321;kWh;201811;2018-11-22T00:00:00+00:00;Dag
EL;092021;310385.933321;kWh;201811;2018-11-25T00:00:00+00:00;Dag
EL;092021;421033.133321;kWh;201811;2018-11-28T00:00:00+00:00;Dag
